Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
30815-20,30815-20|TRUCK POOL RAM CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2020,RAM,1500 PROMASTER,3C6TRVNGXLE110594
33697-08,33697-08|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,FORD,RANGER,1FTYR14U28PA08955
33810-08,33810-08|TRUCK POOL FORD RANGER PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,FORD,RANGER,1FTYR14U28PA15386
30888-10,30888-10|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F350,1FTWW3BYXAEB36668
30865-07,30865-07|TRUCK POOL GMC CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2007,GMC,SAVANA,1GTFG15Z171254050
33834-10,33834-10|TRUCK POOL DODGE VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2010,DODGE,GRAND CARAVAN,2D4CN1AE9AR226885
32892-05,32892-05|TRUCK POOL FORD PICKUP/MID SIZE,ACTIVE,FLEET,TRUCK POOL,2005,FORD,RANGER,1FTYR10U55PA72778
30859-07,30859-07|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F150,1FTPF12V87NA65980
30874-08,30874-08|TRUCK POOL FORD BOX TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,FORD,F450,1FDXF46R68EC83072
32846-18,32846-18|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2018,CHEVROLET,COLORADO,1GCHSBEA4J1125895
32886-18,32886-18|TRUCK POOL FORD VAN/MID SIZE,ACTIVE,FLEET,TRUCK POOL,2018,FORD,TRANSIT CONNECT,NM0LS7E7XJ1368426
32878-18,32878-18|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2018,CHEVROLET,15S60,3N63M0YN2JK691069
33816-10,"33816-10|TRUCK POOL DODGE VAN/MIDSIZE NUMBER CHANGED FROM 35816 7/16/18  - MH",ACTIVE,FLEET,TRUCK POOL,2010,DODGE,GRAND CARAVAN SE,2D4RN4DE0AR122549
33832-18,33832-18|TRUCK POOL NISSAN FRONTIER PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,NISSAN,FRONTIER,1N6BD0CT2JN732571
30827-17,30827-17|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,F550,1FDUF5HT9HEE72770
32883-18,32883-18|TRUCK POOL FORD VAN/MID SIZE,ACTIVE,FLEET,TRUCK POOL,2018,FORD,TRANSIT CONNECT,NM0LS7E78J1368425
32859-18,32859-18|TRUCK POOL FORD VAN/MID SIZE,ACTIVE,FLEET,TRUCK POOL,2018,FORD,TRANSIT CONNECT,NM0LS7E76J1368424
31249-18,31249-18|TRUCK POOL FORD F150  SUPERCAB 4X2 SS TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F150,1FTEX1C55JKC65825
32925-03,"32925-03|TRUCK POOL FORD PICKUP TRUCK NUMBER CHANGED FROM 33816 3/9/18 - MH",ACTIVE,FLEET,TRUCK POOL,2003,FORD,RANGER,1FTYR44U33PB70314
32866-19,32866-19|TRUCK POOL FORD TRANSIT 150 VAN,ACTIVE,FLEET,TRUCK POOL,2019,FORD,TRANSIT,1FTYE1YM7KKA02238
33878-16,33878-16|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,NMOLS7E72G1251111
