Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
32826-09,32826-09|TRUCK POOL FORD ESCAPE/HYBRID,ACTIVE,FLEET,TRUCK POOL,2009,FORD,ESCAPE,1FMCU49309KA12166
30863-08,30863-08|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2008,FORD,RANGER,1FTYR14U48PA08956
30879-08,30879-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W08DA94980
32915-07,"32915-07|TRUCK POOL GMC SAVANA VAN/CARGO NUMBER CHANGED FROM 30866 3/11/19 -  MH",ACTIVE,FLEET,TRUCK POOL,2007,GMC,SAVANA,1GTFG15Z171254288
32830-18,32830-18|TRUCK POOL NISSAN FRONTIER PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,NISSAN,FRONTIER,1N6BDOCT3JN733261
33860-16,33860-16|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,1FTYE1YM8GKA22036
31256-11,"31256-11|TRUCK POOL DODGE VAN/MID SIZE NUMBER CHANGED FROM 35819 1/8/16 - MH",ACTIVE,FLEET,TRUCK POOL,2011,DODGE,CARAVAN,2D4RN4DG7BR669319
33854-10,"33854-10|TRUCK POOL DODGE MINIVAN NUMBER CHANGED FROM 31821 11/2/15 - MH",ACTIVE,FLEET,TRUCK POOL,2010,DODGE,GRAND CARAVAN,2D4RN4DE3AR273434
33886-16,33886-16|TRUCK POOL FORD F350 PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,FORD,F350,1FDWF3E61GEA84295
30848-14,30848-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG8E1205399
31212-15,31212-15|TRUCK POOL FORD PICKUP/4WD,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F350,1FT8W3B64FEC27191
32927-02,"32927-02|TRUCK POOL FORD PICKUP NUMBER CHANGED FROM 33874 4/24/15 - MH",ACTIVE,FLEET,TRUCK POOL,2002,FORD,F150,1FTRF17222NB18897
33869-15,33869-15|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2015,FORD,TRANSIT,1FTNE1YM4FKA91274
33839-15,33839-15|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F250,1FT7W2B68FEC99081
33824-13,33824-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW5DDA68924
33859-13,33859-13|TRUCK POOL DODGE CARGO MINIVAN,ACTIVE,FLEET,TRUCK POOL,2013,DODGE,RAM,2C4JRGAG4DR754237
33842-14,33842-14|TRUCK POOL INTERNATIONAL VAN/CARGO 16',ACTIVE,FLEET,TRUCK POOL,2014,INTERNATIONAL,4300,3HAJTSKM1EL799378
32843-13,32843-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EWXDDA77599
33804-13,33804-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW2DDA68928
30807-12,30807-12|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2012,FORD,F450,1FD0X4HT2CEB09239
30804-12,30804-12|TRUCK POOL DODGE CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,DODGE,RAM,2C4RDGAG5CR386053
30830-13,30830-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW1DDA68922
30890-11,"30890-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW9BDA60895
30892-11,"30892-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW0BDA60901
30808-11,"30808-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW7BDA85374
30806-11,"30806-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW3BDA85372
31209-09,"31209-09|TRUCK POOL DODGE GRAND CARAVAN NUMBER CHANGED FROM 34811 - MH",ACTIVE,FLEET,TRUCK POOL,2009,DODGE,GRAND CARAVAN,2D8HN44E69R586984
34210-17,34210-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM9HKB18369
35238-10,35238-10|TRUCK POOL INTERNATIONAL DUMP,ACTIVE,FLEET,TRUCK POOL,2010,INTERNATIONAL,7400 4X2,1HTWCAAR9AJ213774
32818-17,32818-17|TRUCK POOL FORD E350 SUPER DUTY CUTAWAY TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,E350,1FDWE3F65HDC62749
30880-08,30880-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W48DA94982
32831-07,32831-07|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F150,1FTRF14V27KD41769
30857-07,30857-07|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F150,1FTPF12V17NA65982
30858-07,30858-07|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F150,1FTPF12VX7NA65981
30877-08,30877-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W98DA94976
35205-05,35205-05|TRUCK POOL STERLING TRUCK/16' CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2005,STERLING,ACTERRA,2FZACFCS35AN76451
30833-19,30833-19|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2019,FORD,TRANSIT CONNECT,NM0LS7E25K1401631
32882-18,32882-18|TRUCK POOL NISSAN FRONTIER PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,NISSAN,FRONTIER,1N6AD0EV3JN765833
32852-19,32852-19|TRUCK POOL NISSAN FRONTIER PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2019,NISSAN,FRONTIER,1N6BDOCT1KN700065
33809-17,33809-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM6HKB57968
31238-08,"31238-08|TRUCK POOL DODGE VAN/MID SIZE NUMBER CHANGED FROM 34825 1/8/16 - MH",ACTIVE,FLEET,TRUCK POOL,2008,DODGE,CARAVAN,2D8HN44H28R724674
32929-02,"32929-02|TRUCK POOL FORD PICKUP/SERVICE BODY NUMBER CHANGED FROM 33880",ACTIVE,FLEET,TRUCK POOL,2002,FORD,F350,1FDSF34L32EC80009
33871-16,33871-16|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,1FTYE1YMXGKA22037
30846-14,30846-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GNZGXFG3E1213789
31214-14,31214-14|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2014,FORD,F150,1FTEX1CM5EKE74026
30854-14,30854-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG9E1206674
30841-14,30841-14|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2014,FORD,F150,1FTEX1CM9EKG08827
33850-15,33850-15|TRUCK POOL CHEVROLET SILVERADO CREW PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2015,CHEVROLET,SILVERADO,3GCPCPEHXFG185904
33851-13,33851-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW1DDA68919
30803-12,30803-12|TRUCK POOL DODGE CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,DODGE,RAM,2C4RDGAG7CR386054
32871-12,"32871-12|TRUCK POOL FORD CARGO VAN QFC ADDED 2/21/12 - MH",ACTIVE,FLEET,TRUCK POOL,2012,FORD,E150,1FTNE1EW4CDA38368
32880-13,32880-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW8DDA77598
33848-13,33848-13|TRUCK POOL FORD F150 TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTEX1CM1DFC28808
30820-12,30820-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NMOLS7AN8CTO78522
30824-12,30824-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NM0LS7AN2CT078581
33867-14,33867-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG1E1205339
30818-11,"30818-11|TRUCK POOL FORD COMMERCIAL CUTAWAY TRUCK QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E350,1FDSE3FL6BDA12531
30895-11,"30895-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW4BDA60898
32909-99,32909-99|TRUCK POOL FORD VAN/FULL SIZE,ACTIVE,FLEET,TRUCK POOL,1999,FORD,E350,1FTSE34L0XHB11143
30814-11,"30814-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW3BDA85369
30812-11,"30812-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW5BDA85373
30811-11,"30811-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW1BDA85368
33806-17,33806-17|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,F550,1FDUF5GY4HEE05829
35237-16,35237-16|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT CONNECT,NMOLS7E71G1265761
35807-17,35807-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM8HKA01849
32913-04,"32913-04|TRUCK POOL FORD PICKUP NUMBER CHANGED FROM 32863 8/3/17 - MH",ACTIVE,FLEET,TRUCK POOL,2004,FORD,F150,2FTRF17294CA51532
32889-17,32889-17|TRUCK POOL FORD F150 CREW CAB 4X2 SS TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,F150,1FTEW1C83HKD20652
33811-05,33811-05|TRUCK POOL INTERNATIONAL VAN,ACTIVE,FLEET,TRUCK POOL,2005,INTERNATIONAL,4300,1HTMMAAM25H167646
31218-09,31218-09|TRUCK POOL FREIGHTLINER TRUCK/DUMP,ACTIVE,FLEET,TRUCK POOL,2009,FREIGHTLINER,M2106V,1FVAC3BS69HAK1243
30884-10,30884-10|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F550,1FDAF5HY6AEA77465
31201-07,31201-07|TRUCK POOL FORD F450,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F450,1FDXF46P67EB11718
30867-07,30867-07|TRUCK POOL GMC CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2007,GMC,SAVANA,1GTFG15Z471252566
32827-09,32827-09|TRUCK POOL FORD ESCAPE/HYBRID,ACTIVE,FLEET,TRUCK POOL,2009,FORD,ESCAPE,1FMCU49329KA12167
32839-04,32839-04|TRUCK POOL FORD VAN/STEP BSW,ACTIVE,FLEET,TRUCK POOL,2004,FORD,E39Z,1FCKE39L24HA20864
32840-04,32840-04|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2004,FORD,F-150,2FTRF17274CA51531
35216-08,35216-08|TRUCK POOL FORD F550 TRUCK/DUMP,ACTIVE,FLEET,TRUCK POOL,2008,FORD,F550,1FDAF56RX8EC06622
32204-05,32204-05|TRUCK POOL STERLING TRUCK/16' CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2005,STERLING,ACTERRA,2FZACFCS15AN76450
32864-19,32864-19|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2019,FORD,TRANSIT CONNECT,NM0LS7E29K1401633
30826-19,30826-19|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2019,FORD,F650,1FDNF6AY8KDF04654
32869-18,32869-18|TRUCK POOL FORD F150 CREW CAB 4X2 SS TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F150,1FTEW1CB9JFE10804
32815-18,32815-18|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2018,CHEVROLET,15S60,3N63M0YN0JK691099
31242-18,31242-18|TRUCK POOL FORD F150 CREW CAB 4X2 SS TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F150,1FTEW1CP0JKC65820
